Run,Step,InCave,InMarket,InTown
1,0,0,0,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,1
1,4,0,0,1
1,5,0,0,1
1,6,1,0,0
1,7,1,0,0
1,8,1,0,0
1,9,0,0,0
1,10,0,1,1
1,11,1,0,0
1,12,0,0,0
1,13,1,0,1
1,14,1,0,0
2,0,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,0,1,1
2,4,0,1,1
2,5,0,1,1
2,6,0,1,1
2,7,0,1,1
2,8,0,1,1
2,9,0,0,1
2,10,0,1,1
2,11,0,0,0
2,12,1,0,0
2,13,0,0,0
2,14,0,1,1
3,0,0,0,0
3,1,0,0,0
3,2,0,0,0
3,3,0,0,1
3,4,0,1,1
3,5,0,1,1
3,6,0,1,1
3,7,0,1,0
3,8,1,0,0
3,9,1,0,0
3,10,1,0,0
3,11,1,0,0
3,12,1,0,0
3,13,1,0,0
3,14,1,0,0
4,0,0,0,0
4,1,0,0,0
4,2,0,0,0
4,3,0,0,0
4,4,0,0,0
4,5,0,0,0
4,6,0,1,1
4,7,0,1,1
4,8,0,0,0
4,9,1,0,0
4,10,1,0,0
4,11,1,0,0
4,12,0,0,0
4,13,0,0,0
4,14,0,1,1
5,0,0,0,0
5,1,0,0,0
5,2,0,0,0
5,3,0,0,1
5,4,0,0,1
5,5,0,1,1
5,6,0,1,1
5,7,1,0,0
5,8,1,0,0
5,9,1,0,0
5,10,1,0,0
5,11,0,0,0
5,12,0,0,0
5,13,0,1,1
5,14,0,1,1
6,0,0,0,0
6,1,0,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,0,1,1
6,6,0,1,0
6,7,1,0,0
6,8,1,0,0
6,9,0,0,0
6,10,0,0,0
6,11,0,0,1
6,12,0,0,1
6,13,0,0,1
6,14,0,0,0
7,0,0,0,0
7,1,0,0,0
7,2,0,0,0
7,3,0,0,0
7,4,0,0,0
7,5,0,1,1
7,6,0,1,0
7,7,1,0,0
7,8,1,0,0
7,9,0,0,0
7,10,0,0,0
7,11,0,0,1
7,12,0,0,1
7,13,0,0,1
7,14,0,0,0
8,0,0,0,0
8,1,0,0,0
8,2,0,0,0
8,3,0,0,0
8,4,0,0,0
8,5,0,1,1
8,6,0,1,0
8,7,1,0,0
8,8,1,0,0
8,9,0,0,0
8,10,0,0,0
8,11,0,0,1
8,12,0,0,1
8,13,0,0,1
8,14,0,0,0
9,0,0,0,0
9,1,0,0,0
9,2,0,0,0
9,3,0,0,0
9,4,0,0,0
9,5,0,1,1
9,6,0,1,0
9,7,1,0,0
9,8,1,0,0
9,9,0,0,0
9,10,0,0,0
9,11,0,0,1
9,12,0,0,1
9,13,0,0,1
9,14,0,0,0
10,0,0,0,0
10,1,0,0,0
10,2,0,0,0
10,3,0,0,0
10,4,0,0,0
10,5,0,1,1
10,6,0,1,0
10,7,1,0,0
10,8,1,0,0
10,9,0,0,0
10,10,0,0,0
10,11,0,0,1
10,12,0,0,1
10,13,0,0,1
10,14,0,0,0
11,0,0,0,0
11,1,0,0,0
11,2,0,0,0
11,3,0,0,0
11,4,0,0,0
11,5,0,1,1
11,6,0,1,0
11,7,1,0,0
11,8,1,0,0
11,9,0,0,0
11,10,0,0,0
11,11,0,0,1
11,12,0,0,1
11,13,0,0,1
11,14,0,0,0
12,0,0,0,0
12,1,0,0,0
12,2,0,0,0
12,3,0,0,0
12,4,0,1,1
12,5,1,0,0
12,6,1,0,0
12,7,1,0,0
12,8,1,0,0
12,9,0,0,0
12,10,1,0,0
12,11,1,0,0
12,12,1,0,0
12,13,1,0,0
12,14,0,0,1
13,0,0,0,0
13,1,0,0,0
