Run,Step,InCave,InMarket,InTown,Update,CurrentState,SafeChoice,SafeCount
1,0,0,0,0,toMarket,0,0,0
1,1,0,0,0,toMarket,0,0,0
1,2,0,1,0,toMarket,0,0,0
1,3,0,1,1,toMarket,0,1,0
1,4,0,0,0,toMarket,0,0,0
1,5,0,0,0,toMarket,0,1,0
1,6,0,1,1,toMarket,0,1,0
1,7,0,1,0,toMarket,0,0,0
1,8,0,1,0,toMarket,0,1,0
1,9,0,0,1,toMarket,0,0,1
1,10,0,0,1,toMarket,0,1,2
1,11,0,0,1,toMarket,0,1,3
1,12,0,0,1,toMarket,0,1,4
1,13,0,0,1,toMarket,0,1,5
1,14,0,0,1,toMarket,0,1,6
2,0,0,0,0,toMarket,0,0,0
2,1,0,0,0,toMarket,0,0,0
2,2,0,0,0,toMarket,0,0,0
2,3,0,0,0,toMarket,0,0,0
2,4,0,0,0,toMarket,0,1,1
2,5,0,0,0,toMarket,0,0,1
2,6,0,0,0,toMarket,0,0,1
2,7,1,0,0,toMarket,0,0,1
2,8,1,0,0,toMarket,0,0,1
2,9,1,0,0,toMarket,0,0,1
2,10,1,0,0,toMarket,0,1,1
2,11,1,0,1,toMarket,0,0,1
2,12,0,0,0,toMarket,0,0,1
2,13,0,0,0,toMarket,0,1,2
2,14,0,0,1,toMarket,0,1,2
3,0,0,0,0,toMarket,0,0,0
3,1,0,0,0,toMarket,0,0,0
3,2,0,0,0,toMarket,0,0,0
3,3,0,0,0,toMarket,0,1,0
3,4,0,0,0,toMarket,0,0,0
3,5,0,0,0,toMarket,0,0,0
3,6,0,0,0,toMarket,0,0,0
3,7,0,0,0,toMarket,0,0,0
3,8,0,0,0,toMarket,0,1,0
3,9,0,0,0,toMarket,0,0,0
3,10,0,0,0,toMarket,0,1,0
3,11,0,0,0,toMarket,0,1,0
3,12,0,1,1,toMarket,0,1,0
3,13,0,1,1,toMarket,0,0,1
3,14,0,1,1,toMarket,0,0,1
4,0,0,0,0,toMarket,0,0,0
4,1,0,0,0,toMarket,0,0,0
4,2,0,0,0,toMarket,0,1,0
4,3,0,0,0,toMarket,0,0,0
4,4,0,0,0,toMarket,0,1,0
4,5,0,0,0,toMarket,0,0,0
4,6,0,0,0,toMarket,0,0,0
4,7,0,0,0,toMarket,0,1,0
