Run,Step,InCave,InTown,InCave,InForest,Update,CurrentState,SafeChoice,SafeCount
1,0,0,0,0,1,toForest,1,0,0
1,1,0,0,1,1,toTown,3,0,0
1,2,0,0,1,0,toTown,8,0,0
1,3,0,1,1,0,toMarket,8,0,0
1,4,0,0,0,0,toTown,5,0,0
1,5,1,0,0,1,toCave,6,0,0
1,6,1,0,0,0,toTown,7,0,0
1,7,1,0,0,0,toTown,2,0,0
1,8,1,0,0,0,toTown,2,0,0
1,9,1,0,0,0,toTown,2,0,0
1,10,1,0,0,0,toTown,2,0,0
1,11,1,0,0,0,toTown,2,0,0
1,12,1,0,0,0,toTown,2,0,0
1,13,1,0,0,0,toTown,2,0,0
1,14,1,0,0,0,toTown,2,0,0
2,0,0,0,0,1,toForest,1,0,0
2,1,0,0,0,1,toTown,3,0,0
2,2,0,0,0,1,toMarket,3,0,0
2,3,0,0,0,1,toMarket,3,0,0
2,4,0,1,1,1,toMarket,3,0,0
2,5,0,1,1,0,toTown,5,0,0
2,6,1,1,1,0,toCave,6,0,0
2,7,1,1,1,0,toTown,5,0,0
2,8,1,1,1,0,toTown,2,0,0
2,9,1,0,0,0,toTown,2,0,0
2,10,1,0,0,0,toTown,2,0,0
2,11,1,0,0,0,toTown,2,0,0
2,12,1,0,0,0,toTown,2,0,0
2,13,1,0,0,0,toTown,2,0,0
2,14,1,0,0,0,toTown,2,0,0
3,0,0,0,0,1,toForest,1,0,0
3,1,0,0,0,1,toTown,3,0,0
3,2,0,1,1,1,toMarket,3,0,0
3,3,0,1,1,0,toTown,5,0,0
3,4,1,1,1,0,toCave,6,0,0
3,5,1,0,0,0,toTown,5,0,0
3,6,1,0,1,0,toTown,2,0,0
4,0,0,0,0,1,toForest,1,0,0
4,1,0,0,1,1,toTown,3,0,0
4,2,1,0,0,1,toTown,8,0,0
4,3,1,0,0,0,toTown,2,0,0
4,4,1,0,0,0,toTown,2,0,0
4,5,1,0,0,0,toTown,2,0,0
4,6,1,0,1,0,toTown,2,0,0
5,0,0,0,0,1,toForest,1,0,0
5,1,0,0,0,1,toTown,3,0,0
