Run,Step,InCave,InMarket,InTown,Update,CurrentState
1,0,0,0,0,toMarket,0
1,1,0,0,0,toMarket,0
1,2,0,1,0,toMarket,1
1,3,0,1,1,toMarket,4
1,4,0,1,0,toMarket,5
1,5,1,0,0,toCave,6
1,6,1,0,0,toCave,7
1,7,1,0,0,toCave,2
1,8,1,0,0,toCave,2
1,9,0,0,0,toCave,2
1,10,1,0,0,toCave,2
1,11,1,0,0,toCave,2
1,12,1,0,0,toCave,2
1,13,1,0,0,toCave,2
1,14,1,0,0,toCave,2
2,0,0,0,0,toMarket,0
2,1,0,0,0,toMarket,0
2,2,0,0,0,toMarket,1
2,3,0,0,0,toTown,3
2,4,0,1,1,toMarket,3
2,5,0,0,0,toMarket,5
2,6,0,0,0,toCave,6
2,7,1,0,0,toCave,2
2,8,0,0,0,toCave,2
2,9,1,0,0,toCave,2
2,10,1,0,0,toCave,2
2,11,1,0,0,toCave,2
2,12,1,0,0,toCave,2
2,13,1,0,0,toCave,2
2,14,1,0,0,toCave,2
3,0,0,0,0,toMarket,0
3,1,0,0,0,toMarket,0
3,2,0,1,0,toMarket,1
3,3,0,1,0,toMarket,4
3,4,0,1,1,toTown,4
3,5,0,1,0,toTown,5
3,6,0,1,1,toCave,6
3,7,1,1,0,toCave,2
3,8,1,0,0,toCave,2
3,9,1,0,0,toCave,2
3,10,1,0,0,toCave,2
3,11,1,0,0,toCave,2
3,12,1,0,0,toCave,2
3,13,0,0,0,toCave,2
3,14,1,0,0,toCave,2
4,0,0,0,0,toMarket,0
4,1,0,0,0,toMarket,0
4,2,0,1,0,toMarket,1
4,3,0,1,1,toMarket,4
4,4,0,0,0,toMarket,5
4,5,1,1,0,toCave,6
4,6,1,0,0,toCave,7
4,7,1,0,0,toCave,2
4,8,1,0,0,toCave,2
4,9,1,0,0,toCave,2
4,10,1,0,0,toCave,2
4,11,0,0,0,toCave,2
4,12,1,0,0,toCave,2
4,13,1,0,0,toCave,2
4,14,0,0,0,toCave,2
4,0,0,0,0,toMarket,0
5,1,0,0,0,toMarket,0
5,2,0,1,1,toMarket,1
5,3,0,1,0,toMarket,5
5,4,0,1,1,toCave,6
5,5,0,1,1,toCave,2
5,6,1,1,1,toCave,2
5,7,1,1,1,toCave,2
5,8,1,0,0,toCave,2
5,9,1,0,0,toCave,2
5,10,1,0,0,toCave,2
5,11,1,0,0,toCave,2
5,12,1,0,0,toCave,2
5,13,1,0,0,toCave,2
5,14,0,0,0,toCave,2
6,0,0,0,0,toMarket,0
6,1,0,0,0,toMarket,0
6,2,0,1,0,toMarket,1
6,3,0,1,1,toMarket,4
6,4,0,1,1,toMarket,5
6,5,1,0,0,toCave,6
6,6,1,0,0,toCave,7
6,7,1,0,0,toCave,2
6,8,1,0,0,toCave,2
6,9,1,0,0,toCave,2
6,10,1,0,0,toCave,2
6,11,1,0,0,toCave,2
6,12,1,0,0,toCave,2
6,13,1,0,0,toCave,2
6,14,1,0,0,toCave,2
7,0,0,0,0,toMarket,0
7,1,0,0,0,toMarket,0
7,2,0,1,1,toMarket,1
7,3,0,1,0,toMarket,5
7,4,0,1,0,toCave,6
7,5,0,1,0,toCave,2
7,6,0,1,0,toCave,2
7,7,0,0,0,toCave,2
7,8,1,0,0,toCave,2
7,9,1,0,0,toCave,2
7,10,1,0,0,toCave,2
7,11,1,0,0,toCave,2
7,12,1,0,0,toCave,2
7,13,0,0,0,toCave,2
7,14,0,0,0,toCave,2
8,0,0,0,0,toMarket,0
8,1,0,0,0,toMarket,0
8,2,0,1,0,toMarket,1
8,3,0,1,1,toMarket,4
8,4,0,1,1,toMarket,5
8,5,0,0,0,toCave,6
8,6,1,0,0,toCave,2
8,7,0,0,0,toCave,2
8,8,0,0,0,toCave,2
8,9,0,0,0,toCave,2
8,10,0,0,0,toCave,2
8,11,1,0,0,toCave,2
8,12,0,0,0,toCave,2
8,13,0,0,0,toCave,2
8,14,1,0,0,toCave,2
9,0,0,0,0,toMarket,0
9,1,0,0,0,toMarket,0
9,2,0,1,1,toMarket,1
9,3,0,0,0,toMarket,5
9,4,1,0,0,toCave,6
9,5,1,0,0,toCave,7
9,6,1,0,0,toCave,2
9,7,0,0,0,toCave,2
9,8,1,0,0,toCave,2
9,9,1,0,0,toCave,2
9,10,1,0,0,toCave,2
9,11,1,0,0,toCave,2
9,12,1,0,0,toCave,2
9,13,1,0,0,toCave,2
9,14,1,0,0,toCave,2
10,0,0,0,0,toMarket,0
10,1,0,0,0,toMarket,0
10,2,0,1,1,toMarket,1
10,3,0,1,1,toMarket,5
10,4,0,1,1,toCave,6
10,5,0,1,0,toCave,2
